ASN,Name,RPKI,Total,%
AS38130,삼성에스디에스(주),0,11,0.0
AS9856,엔에이치투자증권(주),0,11,0.0
AS38686,주식회사 티머니,0,11,0.0
AS45403,재단법인 인천테크노파크,0,11,0.0
AS17832,한국인터넷진흥원,0,11,0.0
AS45990,건강보험심사평가원,0,11,0.0
AS55625,청운대학교,0,11,0.0
AS10169,아모레퍼시픽,0,11,0.0
AS38106,주식회사 한국보안기술,0,11,0.0
AS18340,(주)에스비코리아,0,11,0.0
AS17607,미래에셋생명보험(주),0,11,0.0
AS10065,한국전자금융(주),0,11,0.0
AS9958,주식회사 카카오게임즈,0,11,0.0
AS17616,주식회사 카카오페이증권,0,11,0.0
AS10038,엔에이치엔클라우드,0,11,0.0
AS9322,이화여자대학교,0,10,0.0
AS9488,서울대학교 정보화본부,0,10,0.0
AS9759,주식회사 아이엠증권,0,10,0.0
AS9954,군산대학교,0,10,0.0
AS18158,충북대학교,0,10,0.0
AS9974,한국마사회,0,10,0.0
AS23990,주식회사 미금유선방송,0,10,0.0
AS45395,(주)지디시스,0,10,0.0
AS55616,재단법인 대구경북과학기술원,0,10,0.0
AS9487,기술보증기금,0,10,0.0
AS38694,청주교육대학교,0,10,0.0
AS38122,서울보증보험,0,10,0.0
AS17834,우리카드,0,10,0.0
AS9967,(주)KB국민카드,0,10,0.0
AS10178,주식회사 카카오페이,0,10,0.0
AS38098,나이스페이먼츠(주),0,10,0.0
AS9489,한국항공우주연구원,0,9,0.0
AS9692,한화투자증권주식회사,0,9,0.0
AS9704,한국투자증권(주),0,9,0.0
AS10063,기상청,0,9,0.0
AS7557,(주)한국무역정보통신,0,9,0.0
AS10197,전남대학교,0,9,0.0
AS18319,영남이공대학교,0,9,0.0
AS10190,중부대학교,0,9,0.0
AS10165,관세청,0,9,0.0
AS17567,공항철도 주식회사,0,9,0.0
AS9862,주식회사 지오레이넷,0,9,0.0
AS38671,에쓰-오일(주),0,9,0.0
AS55624,대림대학교,0,9,0.0
AS9861,브이아이자산운용(주),0,9,0.0
AS10050,국립중앙도서관,0,9,0.0
AS55611,경민대학교,0,9,0.0
AS17842,주식회사 강원랜드,0,9,0.0
AS9773,한컴위드,0,9,0.0
AS9572,한국외국어대학교,0,8,0.0
AS9635,부산외국어대학교,0,8,0.0
AS9706,부산광역시교육청교육연구정보원,0,8,0.0
AS9965,안산대학교,0,8,0.0
AS17592,중소기업은행,0,8,0.0
AS23553,정보통신산업진흥원,0,8,0.0
AS17595,한국원자력안전기술원,0,8,0.0
AS9640,한국인터넷진흥원,0,8,0.0
AS9709,KIS정보통신주식회사,0,8,0.0
AS18171,경남대학교,0,8,0.0
AS9275,한국천문연구원,0,8,0.0
AS23596,한국인터넷진흥원,0,8,0.0
AS45393,서울외국인학교,0,8,0.0
AS38129,(주)에스원,0,8,0.0
AS18321,(주) 크래프톤,0,8,0.0
AS10157,엔에이치엔 벅스,0,8,0.0
AS18308,(주)풍산,0,8,0.0
AS9570,(주)전북은행,0,8,0.0
AS9643,한국정보인증주식회사,0,7,0.0
AS9852,삼일 회계법인,0,7,0.0
AS9944,(주)지에스리테일 홈쇼핑,0,7,0.0
AS9963,(주)비트넷,0,7,0.0
AS7624,전주대학교,0,7,0.0
AS17868,협성대학교,0,7,0.0
AS18298,충남대학교,0,7,0.0
AS18343,대구공업대학교,0,7,0.0
AS9777,경주대학교,0,7,0.0
AS3813,서강대학교,0,7,0.0
AS10055,한국철도공사,0,7,0.0
AS10051,우정사업본부,0,7,0.0
AS9955,백석대학교,0,7,0.0
AS10058,신용협동조합중앙회,0,7,0.0
AS23564,주식회사 한국씨티은행,0,7,0.0
AS18038,한국교원대학교,0,7,0.0
AS38114,주식회사 신진네트워크,0,7,0.0
AS38670,씨디네트웍스,0,7,0.0
AS45366,싸이버로지텍,0,7,0.0
AS45379,울산과학기술원,0,7,0.0
AS46003,(주)커넥트웨이브,0,7,0.0
AS55622,춘천교육대학교,0,7,0.0
AS7563,한국인터넷진흥원,0,7,0.0
AS18332,(주)포스토피아,0,7,0.0
AS9977,한국인터넷진흥원,0,7,0.0
AS38681,전라남도교육청교육연구정보원,0,7,0.0
AS9784,(주)KB국민카드,0,7,0.0
AS131094,현대자동차(주),2,7,0.2857142857142857
AS18336,한국한의학연구원,0,7,0.0
AS152225,주식회사 브이엔티지,0,7,0.0
AS9492,주식회사 매일경제신문사,0,6,0.0
AS9703,주식회사 신한은행,0,6,0.0
AS10179,하나증권(주),0,6,0.0
AS17872,성신여자대학교,0,6,0.0
AS18294,수협은행,0,6,0.0
AS23560,메트라이프생명보험(주),0,6,0.0
AS18324,마산대학교,0,6,0.0
AS18341,구미대학교,0,6,0.0
AS1704,한국과학기술원,0,6,0.0
AS9521,한국자동차연구원,0,6,0.0
AS9531,광주광역시교육연구정보원,0,6,0.0
AS9975,경상북도교육청정보센터,0,6,0.0
AS10162,서울대학교병원,0,6,0.0
AS10069,서울교통공사,0,6,0.0
AS38125,한국도로공사,0,6,0.0
AS38131,국립목포해양대학교,0,6,0.0
AS4202,주식회사 오뚜기,0,6,0.0
AS38428,한국정보통신,0,6,0.0
AS38427,주식회사 포스텍,0,6,0.0
AS55604,한국조폐공사,0,6,0.0
AS18032,(주)신한디에스,0,6,0.0
AS38431,케이비손해보험(주),0,6,0.0
AS18314,하나카드 주식회사,0,6,0.0
AS38687,사단법인 금융보안원,0,6,0.0
AS38667,주식회사 카카오뱅크,0,6,0.0
AS45401,나이스페이먼츠(주),0,6,0.0
AS38101,법무법인(유) 율촌,0,6,0.0
AS18317,(주)신한디에스,0,6,0.0
AS17851,한국석유관리원,0,6,0.0
AS18326,주식회사 스포츠토토코리아,0,6,0.0
AS38707,토스페이먼츠 주식회사,0,6,0.0
AS131882,충남대학교병원,0,6,0.0
AS9272,(주)한글과컴퓨터,0,5,0.0
AS9522,신한투자증권 주식회사,0,5,0.0
AS9646,(주)이지오스,0,5,0.0
AS9753,동아대학교,0,5,0.0
AS9763,농림수산식품교육문화정보원,0,5,0.0
AS10056,현대해상화재보험(주),0,5,0.0
AS10072,주식회사 신한은행,0,5,0.0
AS7559,(주)동아닷컴,0,5,0.0
AS7558,한국방송공사,0,5,0.0
AS17587,주식회사 한솔교육,0,5,0.0
AS17861,경남정보대학교,0,5,0.0
AS17863,주식회사 연합뉴스,0,5,0.0
AS18315,서라벌대학교,0,5,0.0
AS18331,대전과학기술대학교,0,5,0.0
AS18325,강서대학교,0,5,0.0
AS10042,수성대학교,0,5,0.0
AS10174,(주)문화방송,0,5,0.0
AS9864,한국예탁결제원,0,5,0.0
AS10067,(주) 엘지씨엔에스,0,5,0.0
AS10195,하이온넷(주),0,5,0.0
AS17615,청주대학교,0,5,0.0
AS23572,에이아이에이생명보험 주식회사,0,5,0.0
AS23580,(주) 세계비즈앤스포츠월드,0,5,0.0
AS9642,한국인터넷진흥원,0,5,0.0
AS38435,코오롱베니트 주식회사,0,5,0.0
AS23599,한국인터넷진흥원,0,5,0.0
AS9854,한국관광공사,0,5,0.0
AS38704,아이디스파워텔 주식회사,0,5,0.0
AS9851,한국영상대학교,0,5,0.0
AS55620,한국석유공사,0,5,0.0
